date,hour_start,price_sterling,price_dollar,notes
25/01/2017,4,41.97,54.9807,
25/01/2017,5,44.51,58.3081,
25/01/2017,6,55.89,73.2159,
25/01/2017,7,46.98,61.5438,
25/01/2017,8,55.05,72.1155,
25/01/2017,9,57.37,75.1547,
25/01/2017,10,55,72.05,
25/01/2017,11,52.29,68.4999,
25/01/2017,12,51.08,66.9148,
25/01/2017,13,49.05,64.2555,
25/01/2017,14,52.97,69.3907,
25/01/2017,15,51.46,67.4126,
25/01/2017,16,65.29,85.5299,
25/01/2017,17,87.7,114.887,
25/01/2017,18,69.91,91.5821,
25/01/2017,19,63.78,83.5518,
25/01/2017,20,52.55,68.8405,
25/01/2017,21,49.39,64.7009,
25/01/2017,22,42.98,56.3038,
26/01/2017,23,44.07,57.7317,
26/01/2017,0,45.86,60.0766,
26/01/2017,1,45.02,58.9762,
26/01/2017,2,43.94,57.5614,
26/01/2017,3,43.34,56.7754,
26/01/2017,4,43.34,56.7754,
26/01/2017,5,43.37,56.8147,
26/01/2017,6,52.06,68.1986,
26/01/2017,7,53.32,69.8492,
26/01/2017,8,60.36,79.0716,
26/01/2017,9,61.69,80.8139,
26/01/2017,10,52.92,69.3252,
26/01/2017,11,47.71,62.5001,
26/01/2017,12,46.85,61.3735,
26/01/2017,13,45.95,60.1945,
26/01/2017,14,48.89,64.0459,
26/01/2017,15,51.42,67.3602,
26/01/2017,16,62.99,82.5169,
26/01/2017,17,80.05,104.8655,
26/01/2017,18,70.12,91.8572,
26/01/2017,19,61.04,79.9624,
26/01/2017,20,53,69.43,
26/01/2017,21,51.07,66.9017,
26/01/2017,22,43.52,57.0112,
27/01/2017,23,42.65,55.8715,
27/01/2017,0,45.49,59.5919,
27/01/2017,1,50.92,66.7052,
27/01/2017,2,45.94,60.1814,
27/01/2017,3,43.91,57.5221,
27/01/2017,4,43.01,56.3431,
27/01/2017,5,43.98,57.6138,
27/01/2017,6,50.01,65.5131,
27/01/2017,7,51.92,68.0152,
27/01/2017,8,58.39,76.4909,
27/01/2017,9,58.89,77.1459,
27/01/2017,10,54.17,70.9627,
27/01/2017,11,51.84,67.9104,
27/01/2017,12,49.51,64.8581,
27/01/2017,13,45.84,60.0504,
27/01/2017,14,47.06,61.6486,
27/01/2017,15,49.95,65.4345,
27/01/2017,16,62.91,82.4121,
27/01/2017,17,75,98.25,
27/01/2017,18,70.2,91.962,
27/01/2017,19,60,78.6,
27/01/2017,20,52.1,68.251,
27/01/2017,21,50.1,65.631,
27/01/2017,22,48,62.88,
28/01/2017,23,50.09,65.6179,
28/01/2017,0,50.05,65.5655,
28/01/2017,1,47.12,61.7272,
28/01/2017,2,41.58,54.4698,
28/01/2017,3,41.53,54.4043,
28/01/2017,4,40.41,52.9371,
28/01/2017,5,40.5,53.055,
28/01/2017,6,41.58,54.4698,
28/01/2017,7,41.6,54.496,
28/01/2017,8,46.44,60.8364,
28/01/2017,9,58.19,76.2289,
28/01/2017,10,57.52,75.3512,
28/01/2017,11,56.72,74.3032,
28/01/2017,12,48.11,63.0241,
28/01/2017,13,45.05,59.0155,
28/01/2017,14,43.73,57.2863,
28/01/2017,15,45.08,59.0548,
28/01/2017,16,53.08,69.5348,
28/01/2017,17,79.99,104.7869,
28/01/2017,18,79.95,104.7345,
28/01/2017,19,59.98,78.5738,
28/01/2017,20,48.29,63.2599,
28/01/2017,21,45.69,59.8539,
28/01/2017,22,41.03,53.7493,
29/01/2017,23,50.68,66.3908,
29/01/2017,0,52.3,68.513,
29/01/2017,1,46.11,60.4041,
29/01/2017,2,41.56,54.4436,
29/01/2017,3,39.01,51.1031,
29/01/2017,4,38.35,50.2385,
29/01/2017,5,38.53,50.4743,
29/01/2017,6,40.97,53.6707,
29/01/2017,7,41,53.71,
29/01/2017,8,44.08,57.7448,
29/01/2017,9,42.94,56.2514,
29/01/2017,10,55.12,72.2072,
29/01/2017,11,56.76,74.3556,
29/01/2017,12,53.93,70.6483,
29/01/2017,13,47.98,62.8538,
29/01/2017,14,45,58.95,
29/01/2017,15,43.76,57.3256,
29/01/2017,16,53.79,70.4649,
29/01/2017,17,88.09,115.3979,
29/01/2017,18,76.91,100.7521,
29/01/2017,19,60,78.6,
29/01/2017,20,54.44,71.3164,
29/01/2017,21,43.38,56.8278,
29/01/2017,22,40.09,52.5179,
30/01/2017,23,40.96,53.6576,
30/01/2017,0,41.74,54.6794,
30/01/2017,1,41.75,54.6925,
30/01/2017,2,40.51,53.0681,
30/01/2017,3,39.96,52.3476,
30/01/2017,4,32.97,43.1907,
30/01/2017,5,40.04,52.4524,
30/01/2017,6,53.18,69.6658,
30/01/2017,7,50.27,65.8537,
30/01/2017,8,56.32,73.7792,
30/01/2017,9,59,77.29,
30/01/2017,10,58.36,76.4516,
30/01/2017,11,53,69.43,
30/01/2017,12,52.77,69.1287,
30/01/2017,13,50.82,66.5742,
30/01/2017,14,46.4,60.784,
30/01/2017,15,46.36,60.7316,
30/01/2017,16,68.69,89.9839,
30/01/2017,17,84,110.04,
30/01/2017,18,74,96.94,
30/01/2017,19,53.2,69.692,
30/01/2017,20,55,72.05,
30/01/2017,21,47.01,61.5831,
30/01/2017,22,40.45,52.9895,
31/01/2017,23,41.03,53.7493,
31/01/2017,0,45.46,59.5526,
31/01/2017,1,43.84,57.4304,
31/01/2017,2,41.92,54.9152,
31/01/2017,3,40,52.4,
31/01/2017,4,38.4,50.304,
31/01/2017,5,41.35,54.1685,
31/01/2017,6,52,68.12,
31/01/2017,7,48.19,63.1289,
31/01/2017,8,52.07,68.2117,
31/01/2017,9,49.5,64.845,
31/01/2017,10,52.41,68.6571,
31/01/2017,11,53,69.43,
31/01/2017,12,51.92,68.0152,
31/01/2017,13,47.72,62.5132,
31/01/2017,14,48,62.88,
31/01/2017,15,59.95,78.5345,
31/01/2017,16,78.52,102.8612,
31/01/2017,17,91,119.21,
31/01/2017,18,75.38,98.7478,
31/01/2017,19,62.5,81.875,
31/01/2017,20,50.58,66.2598,
31/01/2017,21,49.63,65.0153,
31/01/2017,22,48.81,63.9411,
01/02/2017,23,45.99,60.2469,
01/02/2017,0,46.23,60.5613,
01/02/2017,1,43.55,57.0505,
01/02/2017,2,42.42,55.5702,
